全局费用编码,中文费用名称,英文费用名称,助记符,默认币种,默认应/免税,可选开票类型,所属费用分类,对应的服务,对应的供应商类型,对应的财务科目,需提供的单据,科目说明,收付方向,原系统编码,科目说明英文
FC0045,旺季附加费,,PSS,CNY,应税,专票/普票,跨境运输费用,,待确认,,,旺季附加费相关的费用，具体概念待进一步研究补充。,应付,SEA01016,"Charges related to 旺季附加费, detailed concept to be researched and supplemented."
FC0046,综合费率上涨附加费,,GRI,CNY,应税,专票/普票,跨境运输费用,,待确认,,,综合费率上涨附加费相关的费用，具体概念待进一步研究补充。,应付,SEA01017,"Charges related to 综合费率上涨附加费, detailed concept to be researched and supplemented."
FC0047,集装箱不平衡附加费,,CIC,CNY,应税,专票/普票,跨境运输费用,内装,待确认,,,集装箱不平衡附加费相关的费用，具体概念待进一步研究补充。,应付,"CIS, SEA01012","Charges related to 集装箱不平衡附加费, detailed concept to be researched and supplemented."
FC0048,运费恢复调整费,,RRI,CNY,应税,专票/普票,特殊科目,,待确认,,,运费恢复调整费相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 运费恢复调整费, detailed concept to be researched and supplemented."
FC0049,跨境运输费用,,,CNY,应税,专票/普票,特殊科目,,待确认,,,跨境运输费用相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 跨境运输费用, detailed concept to be researched and supplemented."
FC0050,集装箱费用,,,CNY,应税,专票/普票,集装箱费用,内装,待确认,,,集装箱费用相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 集装箱费用, detailed concept to be researched and supplemented."
FC0051,集装箱租/售及使用费用,,,CNY,应税,专票/普票,集装箱费用,内装,待确认,,,集装箱租/售及使用费用相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 集装箱租/售及使用费用, detailed concept to be researched and supplemented."
FC0052,租箱费,,,CNY,应税,专票/普票,集装箱费用,,待确认,,,租箱费相关的费用，具体概念待进一步研究补充。,应付,"55848   , 655177, 55177","Charges related to 租箱费, detailed concept to be researched and supplemented."
FC0053,调箱费,,,CNY,应税,专票/普票,集装箱费用,,待确认,,,调箱费相关的费用，具体概念待进一步研究补充。,应付,995,"Charges related to 调箱费, detailed concept to be researched and supplemented."
FC0054,提箱费,,,CNY,应税,专票/普票,集装箱费用,,待确认,,,提箱费相关的费用，具体概念待进一步研究补充。,应付,"55161   , 55732, 55160, 55161","Charges related to 提箱费, detailed concept to be researched and supplemented."
FC0055,放箱费,,,CNY,应税,专票/普票,集装箱费用,,待确认,,,放箱费相关的费用，具体概念待进一步研究补充。,应付,0061,"Charges related to 放箱费, detailed concept to be researched and supplemented."
FC0056,押箱费,,,CNY,应税,专票/普票,集装箱费用,,待确认,,,押箱费相关的费用，具体概念待进一步研究补充。,应付,OPN059,"Charges related to 押箱费, detailed concept to be researched and supplemented."
FC0057,售箱费,,,CNY,应税,专票/普票,集装箱费用,,待确认,,,售箱费相关的费用，具体概念待进一步研究补充。,应付,55819,"Charges related to 售箱费, detailed concept to be researched and supplemented."
FC0058,购箱费,,,CNY,应税,专票/普票,集装箱费用,,待确认,,,购箱费相关的费用，具体概念待进一步研究补充。,应付,655176,"Charges related to 购箱费, detailed concept to be researched and supplemented."
FC0059,指箱号费,,,CNY,应税,专票/普票,集装箱费用,,待确认,,,指箱号费相关的费用，具体概念待进一步研究补充。,应付,SEAN095,"Charges related to 指箱号费, detailed concept to be researched and supplemented."
FC0060,铅封费,,,CNY,应税,专票/普票,集装箱费用,,待确认,,,铅封费相关的费用，具体概念待进一步研究补充。,应付,"CS001024, 1084, 55727","Charges related to 铅封费, detailed concept to be researched and supplemented."
FC0061,集装箱服务费,,CHC,CNY,应税,专票/普票,集装箱费用,内装,待确认,,,集装箱服务费相关的费用，具体概念待进一步研究补充。,应付,SEA01108,"Charges related to 集装箱服务费, detailed concept to be researched and supplemented."
FC0062,集装箱设备交接单费,,EIR/CMR,CNY,应税,专票/普票,集装箱费用,"内装,设备保护",待确认,,,集装箱设备交接单费相关的费用，具体概念待进一步研究补充。,应付,"CSN052, 655227, 55273","Charges related to 集装箱设备交接单费, detailed concept to be researched and supplemented."
FC0063,箱使费,,,CNY,应税,专票/普票,集装箱费用,,待确认,,,箱使费相关的费用，具体概念待进一步研究补充。,应付,"55152, 55193","Charges related to 箱使费, detailed concept to be researched and supplemented."
FC0064,套箱费,,,CNY,应税,专票/普票,集装箱费用,,待确认,,,套箱费相关的费用，具体概念待进一步研究补充。,应付,55266,"Charges related to 套箱费, detailed concept to be researched and supplemented."
FC0065,集装箱维护费用,,,CNY,应税,专票/普票,集装箱费用,内装,待确认,,,集装箱维护费用相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 集装箱维护费用, detailed concept to be researched and supplemented."
FC0066,洗箱费,,,CNY,应税,专票/普票,集装箱费用,,待确认,,,洗箱费相关的费用，具体概念待进一步研究补充。,应付,"SEAN076 , 55194","Charges related to 洗箱费, detailed concept to be researched and supplemented."
FC0067,修箱费,,,CNY,应税,专票/普票,集装箱费用,,待确认,,,修箱费相关的费用，具体概念待进一步研究补充。,应付,"WMSN083 , 55751","Charges related to 修箱费, detailed concept to be researched and supplemented."
FC0068,集装箱改装费,,,CNY,应税,专票/普票,集装箱费用,内装,待确认,,,集装箱改装费相关的费用，具体概念待进一步研究补充。,应付,655235,"Charges related to 集装箱改装费, detailed concept to be researched and supplemented."
FC0069,代垫改装费,,,CNY,应税,专票/普票,集装箱费用,,待确认,,,代垫改装费相关的费用，具体概念待进一步研究补充。,应付,55199,"Charges related to 代垫改装费, detailed concept to be researched and supplemented."
FC0070,箱检费,,,CNY,应税,专票/普票,集装箱费用,,待确认,,,箱检费相关的费用，具体概念待进一步研究补充。,应付,"0382, 55782","Charges related to 箱检费, detailed concept to be researched and supplemented."
FC0071,港口/码头/场站作业费用,,,CNY,应税,专票/普票,码头/港口/场站费用,,待确认,,,港口/码头/场站作业费用相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 港口/码头/场站作业费用, detailed concept to be researched and supplemented."
FC0072,港杂费,,,CNY,应税,专票/普票,码头/港口/场站费用,,待确认,,,港杂费相关的费用，具体概念待进一步研究补充。,应付,"SEA01003, 0004, 20070701, 655258, 8011, 55774, 55305, 55197, OP009007","Charges related to 港杂费, detailed concept to be researched and supplemented."
FC0073,倒箱费,,,CNY,应税,专票/普票,集装箱费用,,待确认,,,倒箱费相关的费用，具体概念待进一步研究补充。,应付,0223,"Charges related to 倒箱费, detailed concept to be researched and supplemented."
FC0074,掏箱费,,,CNY,应税,专票/普票,集装箱费用,,待确认,,,掏箱费相关的费用，具体概念待进一步研究补充。,应付,WMS01008,"Charges related to 掏箱费, detailed concept to be researched and supplemented."
FC0075,预进港费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,预进港费相关的费用，具体概念待进一步研究补充。,应付,55308,"Charges related to 预进港费, detailed concept to be researched and supplemented."
FC0076,进港费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,进港费相关的费用，具体概念待进一步研究补充。,应付,"655245  , 655247","Charges related to 进港费, detailed concept to be researched and supplemented."
FC0077,吊装费,,,CNY,应税,专票/普票,码头/港口/场站费用,,待确认,,,吊装费相关的费用，具体概念待进一步研究补充。,应付,SEA01042,"Charges related to 吊装费, detailed concept to be researched and supplemented."
FC0078,搬倒费,,,CNY,应税,专票/普票,码头/港口/场站费用,,待确认,,,搬倒费相关的费用，具体概念待进一步研究补充。,应付,"WMSN088 , 0224","Charges related to 搬倒费, detailed concept to be researched and supplemented."
FC0079,危险品监护费,,,CNY,应税,专票/普票,货物附加费用,,待确认,,,危险品监护费相关的费用，具体概念待进一步研究补充。,应付,"55184   , 55184","Charges related to 危险品监护费, detailed concept to be researched and supplemented."
FC0080,码头操作费,,THC,CNY,应税,专票/普票,码头/港口/场站费用,,码头/场站,,,码头对集装箱进行装卸、堆存、理货等操作收取的费用。分为起运港码头操作费(OTHC)和目的港码头操作费(DTHC)。,应付,55119,"Terminal handling charges for container loading/unloading, storage, and cargo handling operations. Divided into Origin Terminal Handling Charge (OTHC) and Destination Terminal Handling Charge (DTHC)."
FC0081,目的港码头操作费,,DTHC,CNY,应税,专票/普票,码头/港口/场站费用,,待确认,,,目的港码头操作费相关的费用，具体概念待进一步研究补充。,应付,"SEAN074 , 55119, SEA01010, 55156, OP009004","Charges related to 目的港码头操作费, detailed concept to be researched and supplemented."
FC0082,启运港码头操作费,,OTHC,CNY,应税,专票/普票,码头/港口/场站费用,,待确认,,,启运港码头操作费相关的费用，具体概念待进一步研究补充。,应付,"SEA01002, 55119, SEA01025","Charges related to 启运港码头操作费, detailed concept to be researched and supplemented."
FC0083,落箱费,,,CNY,应税,专票/普票,集装箱费用,,待确认,,,落箱费相关的费用，具体概念待进一步研究补充。,应付,"55307, 655251, 655252","Charges related to 落箱费, detailed concept to be researched and supplemented."
FC0084,场站费,,CFS,CNY,应税,专票/普票,码头/港口/场站费用,,待确认,,,场站费相关的费用，具体概念待进一步研究补充。,应付,"WMS01012, 655254","Charges related to 场站费, detailed concept to be researched and supplemented."
FC0085,转栈费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,转栈费相关的费用，具体概念待进一步研究补充。,应付,SEA01074,"Charges related to 转栈费, detailed concept to be researched and supplemented."
FC0086,内支线港杂费,,,CNY,应税,专票/普票,码头/港口/场站费用,驳船,待确认,,,内支线港杂费相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 内支线港杂费, detailed concept to be researched and supplemented."
FC0087,安检费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,安检费相关的费用，具体概念待进一步研究补充。,应付,WMS01009,"Charges related to 安检费, detailed concept to be researched and supplemented."
FC0088,代垫码头杂费,,,CNY,应税,专票/普票,码头/港口/场站费用,,待确认,,,代垫码头杂费相关的费用，具体概念待进一步研究补充。,应付,55079,"Charges related to 代垫码头杂费, detailed concept to be researched and supplemented."
FC0089,代垫机场杂费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,代垫机场杂费相关的费用，具体概念待进一步研究补充。,应付,55847,"Charges related to 代垫机场杂费, detailed concept to be researched and supplemented."
FC0090,代垫铁路箱站杂费,,,CNY,应税,专票/普票,集装箱费用,国内铁路,待确认,,,代垫铁路箱站杂费相关的费用，具体概念待进一步研究补充。,应付,55778,"Charges related to 代垫铁路箱站杂费, detailed concept to be researched and supplemented."
FC0091,港口加急费,,,CNY,应税,专票/普票,码头/港口/场站费用,,待确认,,,港口加急费相关的费用，具体概念待进一步研究补充。,应付,"OPN052  , 55716, 55190, OPN052","Charges related to 港口加急费, detailed concept to be researched and supplemented."
FC0092,港务费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,港务费相关的费用，具体概念待进一步研究补充。,应付,"CSN051  , CSN051","Charges related to 港务费, detailed concept to be researched and supplemented."
FC0093,疏港费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,疏港费相关的费用，具体概念待进一步研究补充。,应付,"SEA01075, 55227","Charges related to 疏港费, detailed concept to be researched and supplemented."
FC0094,三检费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,三检费相关的费用，具体概念待进一步研究补充。,应付,SEAN075,"Charges related to 三检费, detailed concept to be researched and supplemented."
FC0095,磁检费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,磁检费相关的费用，具体概念待进一步研究补充。,应付,655226,"Charges related to 磁检费, detailed concept to be researched and supplemented."
FC0096,漏装费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,漏装费相关的费用，具体概念待进一步研究补充。,应付,655250,"Charges related to 漏装费, detailed concept to be researched and supplemented."
FC0097,码头堆存费,,,CNY,应税,专票/普票,码头/港口/场站费用,仓储,待确认,,,码头堆存费相关的费用，具体概念待进一步研究补充。,应付,655260,"Charges related to 码头堆存费, detailed concept to be researched and supplemented."
FC0098,机场地面补贴,,,CNY,应税,专票/普票,特殊科目,,待确认,,,机场地面补贴相关的费用，具体概念待进一步研究补充。,应付,"55250   , 55250","Charges related to 机场地面补贴, detailed concept to be researched and supplemented."
FC0099,代垫港府规费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,代垫港府规费相关的费用，具体概念待进一步研究补充。,应付,"55138   , 55138","Charges related to 代垫港府规费, detailed concept to be researched and supplemented."
FC0100,机坪操作费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,机坪操作费相关的费用，具体概念待进一步研究补充。,应付,55304,"Charges related to 机坪操作费, detailed concept to be researched and supplemented."
FC0101,港口/码头/场站设施费用,,,CNY,应税,专票/普票,码头/港口/场站费用,,待确认,,,港口/码头/场站设施费用相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 港口/码头/场站设施费用, detailed concept to be researched and supplemented."
FC0102,港口设施保安费,,ISPS,CNY,应税,专票/普票,码头/港口/场站费用,,待确认,,,港口设施保安费相关的费用，具体概念待进一步研究补充。,应付,"55254   , 55254","Charges related to 港口设施保安费, detailed concept to be researched and supplemented."
FC0103,制冷费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,制冷费相关的费用，具体概念待进一步研究补充。,应付,SEA01007,"Charges related to 制冷费, detailed concept to be researched and supplemented."
FC0104,超期制冷费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,超期制冷费相关的费用，具体概念待进一步研究补充。,应付,SEA01034,"Charges related to 超期制冷费, detailed concept to be researched and supplemented."
FC0105,场地使用费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,场地使用费相关的费用，具体概念待进一步研究补充。,应付,"55835   , CSN059","Charges related to 场地使用费, detailed concept to be researched and supplemented."
FC0106,吊机费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,吊机费相关的费用，具体概念待进一步研究补充。,应付,SEA01057,"Charges related to 吊机费, detailed concept to be researched and supplemented."
FC0107,基础设施费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,基础设施费相关的费用，具体概念待进一步研究补充。,应付,55315,"Charges related to 基础设施费, detailed concept to be researched and supplemented."
FC0108,港口/码头/场站其他费用,,,CNY,应税,专票/普票,码头/港口/场站费用,,待确认,,,港口/码头/场站其他费用相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 港口/码头/场站其他费用, detailed concept to be researched and supplemented."
FC0109,海运费,,OF,CNY,应税,专票/普票,跨境运输费用,,船公司,,,承运人承运货物的基本运输费用，是海运服务的核心收费项目。通常按照集装箱规格和航线距离计算，是货代业务中最主要的成本构成。,应付,"SEAN079, 0031","Basic transportation charges for carrying cargo by sea, the core service fee for maritime transport. Usually calculated based on container specifications and route distance, constituting the primary cost component in freight forwarding."
FC0110,空运费,,,CNY,应税,专票/普票,跨境运输费用,,待确认,,,空运费相关的费用，具体概念待进一步研究补充。,应付,AIR01001,"Charges related to 空运费, detailed concept to be researched and supplemented."
FC0111,铁路运费,,,CNY,应税,专票/普票,跨境运输费用,国内铁路,待确认,,,铁路运费相关的费用，具体概念待进一步研究补充。,应付,SEAN083,"Charges related to 铁路运费, detailed concept to be researched and supplemented."
FC0112,亏舱费/空舱费,,DF,CNY,应税,专票/普票,特殊科目,,待确认,,,亏舱费/空舱费相关的费用，具体概念待进一步研究补充。,应付,"SEA01025, 655249","Charges related to 亏舱费/空舱费, detailed concept to be researched and supplemented."
FC0113,跨境卡车运费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,跨境卡车运费相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 跨境卡车运费, detailed concept to be researched and supplemented."
FC0114,上海码头费,,SPS,CNY,应税,专票/普票,码头/港口/场站费用,,待确认,,,上海码头费相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 上海码头费, detailed concept to be researched and supplemented."
FC0115,港口拥挤附加费,,PCS,CNY,应税,专票/普票,跨境运输费用,,待确认,,,港口拥挤附加费相关的费用，具体概念待进一步研究补充。,应付,550006,"Charges related to 港口拥挤附加费, detailed concept to be researched and supplemented."
FC0116,天津码头费,,TTS,CNY,应税,专票/普票,码头/港口/场站费用,,待确认,,,天津码头费相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 天津码头费, detailed concept to be researched and supplemented."
FC0117,货物设施费,,CFC,CNY,应税,专票/普票,特殊科目,,待确认,,,货物设施费相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 货物设施费, detailed concept to be researched and supplemented."
FC0118,码头附加费,,WF,CNY,应税,专票/普票,跨境运输费用,,待确认,,,码头附加费相关的费用，具体概念待进一步研究补充。,应付,"55278, 55308   , 55660","Charges related to 码头附加费, detailed concept to be researched and supplemented."
FC0119,港口/码头/场站费用,,,CNY,应税,专票/普票,码头/港口/场站费用,,待确认,,,港口/码头/场站费用相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 港口/码头/场站费用, detailed concept to be researched and supplemented."
FC0120,装卸费用,,,CNY,应税,专票/普票,装卸费用,,待确认,,,装卸费用相关的费用，具体概念待进一步研究补充。,应付,"55764, 55765, 55767, 20070703","Charges related to 装卸费用, detailed concept to be researched and supplemented."
FC0121,装货费用,,,CNY,应税,专票/普票,特殊科目,内装,待确认,,,装货费用相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 装货费用, detailed concept to be researched and supplemented."
FC0122,理货费,,,CNY,应税,专票/普票,装卸费用,,待确认,,,理货费相关的费用，具体概念待进一步研究补充。,应付,"WMS01002, 55722","Charges related to 理货费, detailed concept to be researched and supplemented."
FC0123,装箱费,,,CNY,应税,专票/普票,集装箱费用,内装,待确认,,,装箱费相关的费用，具体概念待进一步研究补充。,应付,"SEAN086 , 55762","Charges related to 装箱费, detailed concept to be researched and supplemented."
FC0124,出库装卸费,,,CNY,应税,专票/普票,装卸费用,仓储,待确认,,,出库装卸费相关的费用，具体概念待进一步研究补充。,应付,"WMS01015, CSN046","Charges related to 出库装卸费, detailed concept to be researched and supplemented."
FC0125,卸货费用,,,CNY,应税,专票/普票,特殊科目,,待确认,,,卸货费用相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 卸货费用, detailed concept to be researched and supplemented."
